 County Code ,District Code,School Code,Local Educational Agency ,Charter Number," TK/K-3 ADA
Target, B-5/B-1 "," 4 - 6 ADA
Target, B-6/B-2 "," 7 - 8 ADA
Target, B-7/B-3 "," 9 - 12 ADA
Target, B-8/B-4 ","Unduplicated Pupil Percentage
Target, D-1"," Base Grant Funding
Target, C-5 "," Supplemental Grant Funding
Target, D-7 "," Concentration Grant Funding
Target, E-8 "," Necessary Small Schools Allowance
Target, F-1 "," Add-On (Based on 2012-13 Targeted Instructional Improvement Block Grant)
Target, F-2 "," Add-On (Based on 2012-13 Home-to-School Transportation)
Target, F-3 "," Add-On (Based on 2012-13 Small School District Bus Replacement Program)
Target, F-4 "," Total LCFF Target Entitlement
Target, G-1/F-1 "," Total LCFF Floor Entitlement
Transition, B-13 "," Current Year Gap Funding (100%)
Transition, C-3 "," Economic Recovery Target
Transition, D-1 "," Miscellaneous Adjustments
Transition, E-1 "," Total Local Revenue or In-Lieu of Property Taxes
Transition, F-2/F-7 "," Education Protection Account Entitlement
Transition, F-5/F-9 "," Net State Aid
Transition, F-6/F-10 "," Additional SA for MSA Guarantee
Transition, H-1/H-2 "
19,64501,0000000,El Monte City,N/A," 3,446.06 "," 2,800.69 "," 1,882.28 ", -   , 0.9300 ," 64,256,583 "," 11,951,724 "," 12,208,751 ", - ," 254,599 "," 874,634 ", - ," 89,546,291 "," 83,112,543 "," 6,433,748 ", - , - ," 14,497,685 "," 12,594,615 "," 62,453,991 ", - 
19,64519,0000000,El Monte Union High,N/A, -   , -   , -   ," 8,522.50 ", 0.8943 ," 78,995,053 "," 14,129,055 "," 13,598,998 ", - ," 556,896 "," 224,991 ", - ," 107,504,993 "," 101,531,629 "," 5,973,364 ", - , - ," 20,367,532 "," 16,068,303 "," 71,069,158 ", - 
19,64527,0000000,El Rancho Unified,N/A," 2,319.92 "," 1,886.88 "," 1,356.99 "," 2,745.24 ", 0.7600 ," 69,414,833 "," 10,551,054 "," 7,288,558 ", - ," 463,038 "," 545,742 ", - ," 88,263,225 "," 84,067,226 "," 4,195,999 ", - , - ," 14,380,633 "," 13,464,093 "," 60,418,499 ", - 
19,64535,0000000,El Segundo Unified,N/A, 894.49 , 753.39 , 521.16 ," 1,206.47 ", 0.1673 ," 28,315,774 "," 947,446 ", - , - , - ," 49,050 ", - ," 29,312,270 "," 27,492,788 "," 1,819,482 ", - , - ," 9,555,983 "," 5,778,215 "," 13,978,072 ", - 
19,64550,0000000,Garvey Elementary,N/A," 1,973.89 "," 1,447.68 "," 1,098.49 ", -   , 0.8585 ," 35,779,197 "," 6,143,288 "," 5,518,940 ", - ," 10,248 "," 201,292 ", - ," 47,652,965 "," 44,776,547 "," 2,876,418 ", - , - ," 6,593,055 "," 7,003,865 "," 34,056,045 ", - 
19,64568,0000000,Glendale Unified,N/A," 7,934.07 "," 5,704.28 "," 3,825.46 "," 7,696.13 ", 0.5563 ," 209,682,885 "," 23,329,318 "," 660,501 ", - ," 1,135,809 "," 750,405 ", - ," 235,558,918 "," 219,606,886 "," 15,952,032 ", - , - ," 81,846,703 "," 40,753,968 "," 112,958,247 ", - 
19,64576,0000000,Glendora Unified,N/A," 1,892.80 "," 1,626.40 "," 1,157.48 "," 2,518.03 ", 0.3052 ," 60,264,016 "," 3,678,515 ", - , - ," 455,029 "," 276,730 ", - ," 64,674,290 "," 60,508,643 "," 4,165,647 ", - , - ," 16,024,826 "," 11,628,989 "," 37,020,475 ", - 
19,64584,0000000,Gorman Joint,N/A, 32.98 , 22.12 , 19.44 , -   , 0.7004 ," 590,615 "," 82,733 "," 44,415 ", - ," 2,555 "," 54,207 ", - ," 774,525 "," 729,368 "," 45,157 ", - , - ," 21,403 "," 136,731 "," 616,391 ", - 
19,64584,1996305,Gorman Learning Center,0285, 294.21 , 259.26 , 249.30 , 495.45 , 0.3890 ," 10,921,545 "," 849,696 ", - , N/A , N/A , N/A , N/A ," 11,771,241 "," 10,970,595 "," 800,646 ", - , - ," 286,608 "," 2,236,416 "," 9,248,217 ", - 
19,64592,0000000,Hawthorne,N/A," 3,429.30 "," 2,458.10 "," 1,601.61 ", -   , 0.8920 ," 59,336,713 "," 10,585,669 "," 10,146,578 ", - ," 484,960 "," 680,670 ", - ," 81,234,590 "," 75,753,220 "," 5,481,370 ", - , - ," 11,029,447 "," 11,691,788 "," 58,513,355 ", - 
19,64592,0100354,Hawthorne Math and Science Academy,0523, -   , -   , -   , 527.24 , 0.8031 ," 4,886,988 "," 784,948 "," 618,448 ", N/A , N/A , N/A , N/A ," 6,290,384 "," 5,788,551 "," 501,833 ", - , - ," 752,635 "," 1,002,538 "," 4,535,211 ", - 
19,64600,0000000,Hermosa Beach City Elementary,N/A, 547.18 , 459.55 , 304.60 , -   , 0.0551 ," 10,359,942 "," 114,166 ", - , - , - , - , - ," 10,474,108 "," 9,850,448 "," 623,660 "," 2,310 ", - ," 5,279,314 "," 1,583,033 "," 3,614,071 ", - 
19,64626,0000000,Hughes-Elizabeth Lakes Union Elementary,N/A, 105.53 , 47.24 , 30.97 , -   , 0.3582 ," 1,468,136 "," 105,177 ", - , - , - ," 211,602 ", - ," 1,784,915 "," 1,716,270 "," 68,645 ", - , - ," 969,261 "," 36,748 "," 778,906 ", - 
19,64634,0000000,Inglewood Unified,N/A," 2,918.19 "," 2,099.68 "," 1,078.49 "," 1,941.71 ", 0.8735 ," 66,333,590 "," 11,588,479 "," 10,729,459 ", - ," 298,738 "," 962,143 ", - ," 89,912,409 "," 85,032,537 "," 4,879,872 ", - , - ," 19,485,066 "," 13,064,044 "," 57,363,299 ", - 
19,64634,0101667,Wilder's Preparatory Academy Charter,0582, 245.78 , 137.20 , -   , -   , 0.5831 ," 3,062,739 "," 357,177 "," 50,688 ", N/A , N/A , N/A , N/A ," 3,470,604 "," 3,339,995 "," 130,609 ", - , - ," 765,102 "," 604,982 "," 2,100,520 ", - 
19,64634,0116822,Wilder's Preparatory Academy Charter Middle,0977, -   , 64.91 , 124.12 , -   , 0.5534 ," 1,459,074 "," 161,490 "," 2,480 ", N/A , N/A , N/A , N/A ," 1,623,044 "," 1,559,169 "," 63,875 ", - , - ," 377,637 "," 307,357 "," 938,050 ", - 
19,64634,0119552,Today's Fresh Start Charter School Inglewood,1075, 221.01 , 151.01 , 48.55 , -   , 0.9223 ," 3,341,810 "," 616,430 "," 540,538 ", N/A , N/A , N/A , N/A ," 4,498,778 "," 4,134,355 "," 364,423 ", - , - ," 840,198 "," 663,592 "," 2,994,988 ", - 
19,64634,0120303,ICEF Inglewood Elementary Charter Academy,1121, 255.30 , 123.64 , -   , -   , 0.9153 ," 3,038,474 "," 556,223 "," 491,474 ", N/A , N/A , N/A , N/A ," 4,086,171 "," 3,758,543 "," 327,628 ", - , - ," 757,031 "," 598,013 "," 2,731,127 ", - 
19,64634,0120311,ICEF Inglewood Middle Charter Academy,1122, -   , 55.03 , 127.16 , -   , 0.9308 ," 1,407,971 "," 262,108 "," 227,739 ", N/A , N/A , N/A , N/A ," 1,897,818 "," 1,743,531 "," 154,287 ", - , - ," 363,972 "," 294,803 "," 1,239,043 ", - 
19,64634,0121186,Children of Promise Preparatory Academy,1137, 188.04 , 121.74 , 60.17 , -   , 0.7350 ," 2,939,288 "," 432,075 "," 271,884 ", N/A , N/A , N/A , N/A ," 3,643,247 "," 3,569,762 "," 73,485 ", - , - ," 739,071 "," 581,961 "," 2,322,215 ", - 
19,64634,0128991,Grace Hopper STEM Academy,1612, -   , 23.00 , 62.68 , -   , 0.8935 ," 662,786 "," 118,440 "," 107,206 ", N/A , N/A , N/A , N/A ," 888,432 "," 813,819 "," 74,613 ", - , - ," 171,168 "," 17,136 "," 700,128 ", - 
19,64634,1996586,Animo Inglewood Charter High,0432, -   , -   , -   , 600.62 , 0.9430 ," 5,567,147 "," 1,049,964 "," 900,486 ", N/A , N/A , N/A , N/A ," 7,517,597 "," 6,888,084 "," 629,513 ", - , - ," 1,199,895 "," 1,142,069 "," 5,175,633 ", - 
19,64634,6014518,La Tijera K-8 Academy of Excellence,1591, 313.24 , 193.08 , 225.81 , -   , 0.7958 ," 5,801,755 "," 923,408 "," 713,035 ", N/A , N/A , N/A , N/A ," 7,438,198 "," 6,831,578 "," 606,620 ", - , - ," 1,462,620 "," 146,426 "," 5,829,152 ", - 
19,64642,0000000,Keppel Union Elementary,N/A," 1,079.14 ", 860.90 , 575.77 , -   , 0.8987 ," 19,893,295 "," 3,575,621 "," 3,468,395 ", - ," 108,308 "," 902,609 ", - ," 27,948,228 "," 25,692,562 "," 2,255,666 ", - , - ," 3,301,619 "," 3,944,239 "," 20,702,370 ", - 
19,64642,0136127,Community Collaborative Virtual School - Keppel Partnership Academy,1886, 98.65 , 75.06 , 55.55 , 119.49 , 0.2958 ," 2,921,283 "," 172,823 ", - , N/A , N/A , N/A , N/A ," 3,094,106 "," 3,450,414 ", - , - , - ," 436,489 "," 77,649 "," 2,579,968 ", - 
19,64659,0000000,La Canada Unified,N/A," 1,057.43 ", 971.85 , 668.00 ," 1,358.96 ", 0.0811 ," 33,869,740 "," 549,367 ", - , - , - ," 33,160 ", - ," 34,452,267 "," 32,251,671 "," 2,200,596 ", - , - ," 19,280,522 "," 2,152,812 "," 13,018,933 ", - 
19,64667,0000000,Lancaster Elementary,N/A," 6,120.65 "," 4,369.38 "," 2,791.62 ", -   , 0.8755 ," 105,247,599 "," 18,428,855 "," 17,129,047 ", - ," 827,029 "," 821,594 ", - ," 142,454,124 "," 130,201,835 "," 12,252,289 ", - , - ," 15,652,971 "," 20,592,547 "," 106,208,606 ", - 
19,64667,0123174,Life Source International Charter,1225, 191.39 , 124.71 , 75.96 , -   , 0.9079 ," 3,112,460 "," 565,161 "," 506,553 ", N/A , N/A , N/A , N/A ," 4,184,174 "," 3,805,519 "," 378,655 ", - , - ," 415,262 "," 618,163 "," 3,150,749 ", - 
19,64667,0125559,iLEAD Lancaster Charter,1376, 307.00 , 243.93 , 122.19 , -   , 0.6283 ," 5,327,532 "," 669,458 "," 208,573 ", N/A , N/A , N/A , N/A ," 6,205,563 "," 5,448,179 "," 757,384 ", - , - ," 712,955 "," 1,060,683 "," 4,431,925 ", - 
19,64683,0000000,Las Virgenes Unified,N/A," 2,884.57 "," 2,335.13 "," 1,757.25 "," 3,897.54 ", 0.1555 ," 91,259,522 "," 2,838,171 ", - , - ," 714,388 "," 805,308 ", - ," 95,617,389 "," 89,345,797 "," 6,271,592 ", - , - ," 53,686,065 "," 3,593,680 "," 38,337,644 ", - 
19,64691,0000000,Lawndale Elementary,N/A," 2,236.52 "," 1,788.95 "," 1,213.01 ", -   , 0.8578 ," 41,418,508 "," 7,105,760 "," 6,374,309 ", - ," 117,304 "," 329,068 ", - ," 55,344,949 "," 51,377,834 "," 3,967,115 ", - , - ," 8,362,361 "," 8,168,759 "," 38,813,829 ", - 
19,64691,1996438,Environmental Charter High,0353, -   , -   , -   , 500.79 , 0.8267 ," 4,641,823 "," 767,479 "," 642,196 ", N/A , N/A , N/A , N/A ," 6,051,498 "," 5,586,474 "," 465,024 ", - , - ," 724,207 "," 952,244 "," 4,375,047 ", - 
19,64709,0000000,Lennox,N/A," 2,451.70 "," 1,655.45 "," 1,006.10 ", -   , 0.9521 ," 40,566,718 "," 7,724,714 "," 8,155,938 ", - , - ," 268,008 ", - ," 56,715,378 "," 53,091,591 "," 3,623,787 ", - , - ," 5,051,082 "," 7,969,721 "," 43,694,575 ", - 
19,64709,0100602,"Lennox Mathematics, Science and Technology Academy",0509, -   , -   , -   , 562.00 , 0.9130 ," 5,209,178 "," 951,196 "," 945,466 ", N/A , N/A , N/A , N/A ," 7,105,840 "," 6,631,510 "," 474,330 ", - , - ," 530,545 "," 1,068,633 "," 5,506,662 ", - 
19,64709,0107508,Century Community Charter,0672, -   , 140.56 , 298.76 , -   , 0.8622 ," 3,393,313 "," 585,143 "," 529,696 ", N/A , N/A , N/A , N/A ," 4,508,152 "," 4,205,474 "," 302,678 ", - , - ," 414,731 "," 714,440 "," 3,378,981 ", - 
19,64709,0112250,Century Academy for Excellence,0809, -   , 48.59 , 145.44 , -   , 0.9479 ," 1,501,725 "," 284,697 "," 298,768 ", N/A , N/A , N/A , N/A ," 2,085,190 "," 1,898,551 "," 186,639 ", - , - ," 183,170 "," 315,923 "," 1,586,097 ", - 
19,64709,1996313,Animo Leadership High,0281, -   , -   , -   , 614.06 , 0.9475 ," 5,691,722 "," 1,078,581 "," 1,131,230 ", N/A , N/A , N/A , N/A ," 7,901,533 "," 7,292,166 "," 609,367 ", - , - ," 579,691 "," 1,167,625 "," 6,154,217 ", - 
19,64717,0000000,Little Lake City Elementary,N/A," 1,850.46 "," 1,487.08 ", 937.86 , -   , 0.7187 ," 33,808,778 "," 4,859,673 "," 2,851,771 ", - ," 296,499 "," 263,259 ", - ," 42,079,980 "," 39,337,776 "," 2,742,204 ", - , - ," 7,730,245 "," 6,629,679 "," 27,720,056 ", - 
19,64725,0000000,Long Beach Unified,N/A," 21,690.06 "," 16,245.67 "," 10,823.28 "," 22,334.39 ", 0.6885 ," 593,009,364 "," 81,657,390 "," 41,065,899 ", - ," 9,645,922 "," 5,029,976 ", - ," 730,408,551 "," 682,410,468 "," 47,998,083 ", - , - ," 164,175,288 "," 115,425,415 "," 450,807,848 ", - 
19,64725,0127506,Intellectual Virtues Academy of Long Beach,1504, -   , 74.80 , 149.40 , -   , 0.2989 ," 1,731,033 "," 103,481 ", - , N/A , N/A , N/A , N/A ," 1,834,514 "," 1,699,694 "," 134,820 ", - , - ," 433,699 "," 44,840 "," 1,355,975 ", - 
19,64725,0131938,Clear Passage Educational Center,1682, -   , -   , -   , 60.14 , 0.9392 ," 557,438 "," 104,709 "," 38,603 ", N/A , N/A , N/A , N/A ," 700,750 "," 647,990 "," 52,760 ", - , - ," 116,337 "," 12,028 "," 572,385 ", - 
19,64733,0000000,Los Angeles Unified,N/A," 149,387.51 "," 102,830.07 "," 59,964.49 "," 119,168.65 ", 0.8547 ," 3,580,789,986 "," 612,100,240 "," 545,533,354 ", - ," 460,431,314 "," 77,587,829 ", - ," 5,276,442,723 "," 4,984,124,099 "," 292,318,624 ", - , - ," 1,234,094,435 "," 708,980,217 "," 3,333,368,071 ", - 
19,64733,0100289,N.E.W. Academy of Science and Arts,0521, 277.53 , 112.85 , -   , -   , 0.9991 ," 3,139,847 "," 627,405 "," 478,356 ", N/A , N/A , N/A , N/A ," 4,245,608 "," 3,934,772 "," 310,836 ", - , - ," 1,030,837 "," 615,974 "," 2,598,797 ", - 
19,64733,0100669,Stella Middle Charter Academy,0535, -   , 221.94 , 251.55 , -   , 0.9654 ," 3,641,392 "," 703,080 "," 554,766 ", N/A , N/A , N/A , N/A ," 4,899,238 "," 4,555,852 "," 343,386 ", - , - ," 1,250,298 "," 767,398 "," 2,881,542 ", - 
19,64733,0100677,High Tech LA,0537, -   , -   , -   , 384.03 , 0.4744 ," 3,559,574 "," 337,732 ", - , N/A , N/A , N/A , N/A ," 3,897,306 "," 3,641,826 "," 255,480 ", - , - ," 1,014,070 "," 730,227 "," 2,153,009 ", - 
19,64733,0100743,Accelerated Charter Elementary,0539, 283.86 , 186.44 , -   , -   , 0.9798 ," 3,749,124 "," 734,679 "," 571,179 ", N/A , N/A , N/A , N/A ," 5,054,982 "," 4,678,837 "," 376,145 ", - , - ," 1,241,874 "," 741,279 "," 3,071,829 ", - 
19,64733,0100750,Wallis Annenberg High,0538, -   , -   , -   , 469.17 , 0.9682 ," 4,348,737 "," 842,089 "," 662,530 ", N/A , N/A , N/A , N/A ," 5,853,356 "," 5,414,422 "," 438,934 ", - , - ," 1,238,890 "," 892,119 "," 3,722,347 ", - 
19,64733,0100800,Central City Value,0534, -   , -   , -   , 445.04 , 0.9377 ," 4,125,076 "," 773,617 "," 628,455 ", N/A , N/A , N/A , N/A ," 5,527,148 "," 5,108,024 "," 419,124 ", - , - ," 1,175,173 "," 846,236 "," 3,505,739 ", - 
19,64733,0100867,KIPP Los Angeles College Preparatory,0531, -   , 261.56 , 232.32 , -   , 0.9334 ," 3,791,438 "," 707,786 "," 577,625 ", N/A , N/A , N/A , N/A ," 5,076,849 "," 4,710,718 "," 366,131 ", - , - ," 1,304,140 "," 798,050 "," 2,974,659 ", - 
19,64733,0101196,ICEF View Park Preparatory Charter High,0543, -   , -   , -   , 517.42 , 0.7394 ," 4,795,966 "," 709,227 "," 454,178 ", N/A , N/A , N/A , N/A ," 5,959,371 "," 5,414,473 "," 544,898 ", - , - ," 1,366,299 "," 983,865 "," 3,609,207 ", - 
19,64733,0101444,KIPP Academy of Opportunity,0530, -   , 203.08 , 175.14 , -   , 0.8917 ," 2,902,910 "," 517,705 "," 442,258 ", N/A , N/A , N/A , N/A ," 3,862,873 "," 3,560,173 "," 302,700 ", - , - ," 998,728 "," 611,238 "," 2,252,907 ", - 
19,64733,0101659,"CATCH Prep Charter High, Inc.",0570, -   , -   , -   , 173.07 , 0.9632 ," 1,604,186 "," 309,030 "," 244,398 ", N/A , N/A , N/A , N/A ," 2,157,614 "," 1,984,132 "," 173,482 ", - , - ," 457,009 "," 329,090 "," 1,371,515 ", - 
19,64733,0101675,Oscar De La Hoya Animo Charter High,0581, -   , -   , -   , 569.99 , 0.9525 ," 5,283,237 "," 1,006,457 "," 804,901 ", N/A , N/A , N/A , N/A ," 7,094,595 "," 6,559,613 "," 534,982 ", - , - ," 1,505,116 "," 1,083,826 "," 4,505,653 ", - 
19,64733,0101683,Renaissance Arts Academy,0579, 90.26 , 118.44 , 142.17 , 170.67 , 0.6150 ," 4,330,297 "," 532,627 "," 140,735 ", N/A , N/A , N/A , N/A ," 5,003,659 "," 4,779,117 "," 224,542 ", - , - ," 1,377,179 "," 912,493 "," 2,713,987 ", - 
19,64733,0102335,Ocean Charter,0569, 255.04 , 140.22 , 96.35 , -   , 0.2476 ," 3,913,005 "," 193,773 ", - , N/A , N/A , N/A , N/A ," 4,106,778 "," 3,818,883 "," 287,895 ", - , - ," 1,298,145 "," 779,653 "," 2,028,980 ", - 
19,64733,0102426,PUC Milagro Charter,0600, 180.22 , 90.15 , -   , -   , 0.8971 ," 2,166,638 "," 388,738 "," 330,087 ", N/A , N/A , N/A , N/A ," 2,885,463 "," 2,679,735 "," 205,728 ", - , - ," 713,939 "," 426,820 "," 1,744,704 ", - 
19,64733,0102434,Animo South Los Angeles Charter,0602, -   , -   , -   , 580.70 , 0.9261 ," 5,382,508 "," 996,948 "," 820,025 ", N/A , N/A , N/A , N/A ," 7,199,481 "," 6,652,955 "," 546,526 ", - , - ," 1,533,396 "," 1,104,191 "," 4,561,894 ", - 
19,64733,0102442,PUC Lakeview Charter Academy,0603, -   , 105.13 , 223.77 , -   , 0.8889 ," 2,540,450 "," 451,641 "," 387,037 ", N/A , N/A , N/A , N/A ," 3,379,128 "," 3,121,746 "," 257,382 ", - , - ," 868,493 "," 534,869 "," 1,975,766 ", - 
19,64733,0102483,N.E.W. Academy Canoga Park,0592, 298.99 , 150.45 , -   , -   , 0.9563 ," 3,601,240 "," 688,773 "," 548,649 ", N/A , N/A , N/A , N/A ," 4,838,662 "," 4,530,563 "," 308,099 ", - , - ," 1,186,791 "," 709,561 "," 2,942,310 ", - 
19,64733,0102491,"Dr. Theo. T. Alexander Jr., Science Center",0604, 427.31 , 166.21 , -   , -   , 0.8673 ," 4,777,274 "," 828,666 "," 727,818 ", N/A , N/A , N/A , N/A ," 6,333,758 "," 5,840,136 "," 493,622 ", - , - ," 1,567,249 "," 936,131 "," 3,830,378 ", - 
19,64733,0102541,New Designs Charter,0601, -   , 125.13 , 279.57 , 404.78 , 0.9285 ," 6,878,793 "," 1,277,392 "," 1,047,984 ", N/A , N/A , N/A , N/A ," 9,204,169 "," 8,499,024 "," 705,145 ", - , - ," 2,137,513 "," 1,421,585 "," 5,645,071 ", - 
19,64733,0106351,Ivy Academia,0619, 180.01 , 159.21 , 126.72 , 157.69 , 0.6979 ," 5,137,299 "," 717,064 "," 379,903 ", N/A , N/A , N/A , N/A ," 6,234,266 "," 5,552,067 "," 682,199 ", - , - ," 1,646,757 "," 1,038,364 "," 3,549,145 ", - 
19,64733,0106427,Synergy Charter Academy,0636, 201.82 , 102.30 , -   , -   , 0.9701 ," 2,436,501 "," 472,730 "," 371,201 ", N/A , N/A , N/A , N/A ," 3,280,432 "," 3,031,364 "," 249,068 ", - , - ," 803,059 "," 480,068 "," 1,997,305 ", - 
19,64733,0106435,Camino Nuevo Charter High,0635, -   , -   , -   , 262.39 , 0.9651 ," 2,432,093 "," 469,443 "," 370,529 ", N/A , N/A , N/A , N/A ," 3,272,065 "," 3,054,271 "," 217,794 ", - , - ," 692,867 "," 498,930 "," 2,080,268 ", - 
19,64733,0106831,Animo Venice Charter High,0648, -   , -   , -   , 585.14 , 0.8825 ," 5,423,663 "," 957,277 "," 826,295 ", N/A , N/A , N/A , N/A ," 7,207,235 "," 6,660,274 "," 546,961 ", - , - ," 1,545,121 "," 1,112,634 "," 4,549,480 ", - 
19,64733,0106849,Animo Pat Brown,0649, -   , -   , -   , 563.51 , 0.9715 ," 5,223,174 "," 1,014,863 "," 795,751 ", N/A , N/A , N/A , N/A ," 7,033,788 "," 6,517,350 "," 516,438 ", - , - ," 1,488,005 "," 1,071,504 "," 4,474,279 ", - 
19,64733,0106864,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,0645, -   , 146.15 , 289.91 , 510.62 , 0.9584 ," 8,099,577 "," 1,552,526 "," 1,233,971 ", N/A , N/A , N/A , N/A ," 10,886,074 "," 10,110,309 "," 775,765 ", - , - ," 2,499,803 "," 1,800,096 "," 6,586,175 ", - 
19,64733,0106872,Bert Corona Charter,0654, -   , 136.56 , 228.87 , -   , 0.8473 ," 2,818,167 "," 477,567 "," 418,921 ", N/A , N/A , N/A , N/A ," 3,714,655 "," 3,466,046 "," 248,609 ", - , - ," 964,954 "," 594,479 "," 2,155,222 ", - 
19,64733,0107755,Port of Los Angeles High,0542, -   , -   , -   , 920.19 , 0.6160 ," 8,529,241 "," 1,050,802 "," 281,465 ", N/A , N/A , N/A , N/A ," 9,861,508 "," 9,067,627 "," 793,881 ", - , - ," 2,429,854 "," 1,749,725 "," 5,681,929 ", - 
19,64733,0108878,CHAMPS - Charter HS of Arts-Multimedia & Performing,0712, -   , -   , -   , 728.41 , 0.5058 ," 6,751,632 "," 682,995 ", - , N/A , N/A , N/A , N/A ," 7,434,627 "," 6,905,986 "," 528,641 ", - , - ," 1,923,439 "," 1,385,059 "," 4,126,129 ", - 
19,64733,0108886,Gabriella Charter,0713, 187.68 , 152.36 , 103.95 , -   , 0.8628 ," 3,509,457 "," 605,592 "," 534,666 ", N/A , N/A , N/A , N/A ," 4,649,715 "," 4,305,962 "," 343,753 ", - , - ," 1,172,400 "," 708,769 "," 2,768,546 ", - 
19,64733,0108894,Alliance Judy Ivie Burton Technology Academy High,0714, -   , -   , -   , 582.64 , 0.9715 ," 5,400,490 "," 1,049,315 "," 822,765 ", N/A , N/A , N/A , N/A ," 7,272,570 "," 6,726,361 "," 546,209 ", - , - ," 1,538,519 "," 1,107,880 "," 4,626,171 ", - 
19,64733,0108910,Celerity Nascent Charter,0716, 352.91 , 183.65 , 61.11 , -   , 0.9116 ," 4,773,042 "," 870,221 "," 727,174 ", N/A , N/A , N/A , N/A ," 6,370,437 "," 5,984,875 "," 385,562 ", - , - ," 1,578,207 "," 946,361 "," 3,845,869 ", - 
19,64733,0108928,Larchmont Charter,0717, 457.73 , 357.43 , 218.61 , 414.56 , 0.4420 ," 12,022,351 "," 1,062,777 ", - , N/A , N/A , N/A , N/A ," 13,085,128 "," 12,078,663 "," 1,006,465 ", - , - ," 3,824,460 "," 2,341,128 "," 6,919,540 ", - 
19,64733,0108936,Alliance Collins Family College-Ready High,0718, -   , -   , -   , 573.99 , 0.9403 ," 5,320,313 "," 1,000,538 "," 810,550 ", N/A , N/A , N/A , N/A ," 7,131,401 "," 6,585,588 "," 545,813 ", - , - ," 1,515,678 "," 1,091,432 "," 4,524,291 ", - 
19,64733,0109884,James Jordan Middle,0734, -   , 141.21 , 259.22 , -   , 0.8129 ," 3,089,980 "," 502,369 "," 406,178 ", N/A , N/A , N/A , N/A ," 3,998,527 "," 3,825,052 "," 173,475 ", - , - ," 1,057,375 "," 651,134 "," 2,290,018 ", - 
19,64733,0109934,Our Community Charter,0739, 178.18 , 151.45 , 97.80 , -   , 0.3288 ," 3,376,389 "," 222,031 ", - , N/A , N/A , N/A , N/A ," 3,598,420 "," 3,376,131 "," 222,289 ", - , - ," 1,128,672 "," 682,236 "," 1,787,512 ", - 
19,64733,0110304,Los Angeles Academy of Arts & Enterprise Charter,0675, -   , 14.11 , 82.28 , 174.93 , 0.9786 ," 2,369,708 "," 463,799 "," 361,025 ", N/A , N/A , N/A , N/A ," 3,194,532 "," 2,959,825 "," 234,707 ", - , - ," 716,448 "," 477,375 "," 2,000,709 ", - 
19,64733,0111211,New Heights Charter,0761, 169.85 , 133.26 , 90.55 , -   , 0.9617 ," 3,113,554 "," 598,861 "," 474,350 ", N/A , N/A , N/A , N/A ," 4,186,765 "," 3,896,916 "," 289,849 ", - , - ," 1,039,499 "," 625,327 "," 2,521,939 ", - 
19,64733,0111484,New Village Girls Academy,0791, -   , -   , -   , 63.47 , 0.9780 ," 588,303 "," 115,072 "," 89,628 ", N/A , N/A , N/A , N/A ," 793,003 "," 738,217 "," 54,786 ", - , - ," 167,599 "," 120,687 "," 504,717 ", - 
19,64733,0111492,Alliance Patti And Peter Neuwirth Leadership Academy,0789, -   , -   , -   , 543.98 , 0.9674 ," 5,042,151 "," 975,555 "," 768,172 ", N/A , N/A , N/A , N/A ," 6,785,878 "," 6,268,434 "," 517,444 ", - , - ," 1,436,434 "," 1,034,369 "," 4,315,075 ", - 
19,64733,0111500,Alliance Dr. Olga Mohan High,0790, -   , -   , -   , 429.01 , 0.9362 ," 3,976,494 "," 744,559 "," 605,819 ", N/A , N/A , N/A , N/A ," 5,326,872 "," 4,941,560 "," 385,312 ", - , - ," 1,132,844 "," 815,755 "," 3,378,273 ", - 
19,64733,0111518,Alliance Jack H. Skirball Middle,0779, -   , 140.12 , 283.30 , -   , 0.9705 ," 3,269,456 "," 634,602 "," 498,101 ", N/A , N/A , N/A , N/A ," 4,402,159 "," 4,073,302 "," 328,857 ", - , - ," 1,118,083 "," 688,313 "," 2,595,763 ", - 
19,64733,0111575,Animo Ralph Bunche Charter High,0781, -   , -   , -   , 577.61 , 0.9844 ," 5,353,867 "," 1,054,069 "," 815,662 ", N/A , N/A , N/A , N/A ," 7,223,598 "," 6,689,316 "," 534,282 ", - , - ," 1,525,237 "," 1,098,316 "," 4,600,045 ", - 
19,64733,0111583,Animo Jackie Robinson High,0793, -   , -   , -   , 586.32 , 0.9771 ," 5,434,600 "," 1,062,030 "," 827,961 ", N/A , N/A , N/A , N/A ," 7,324,591 "," 6,778,969 "," 545,622 ", - , - ," 1,548,237 "," 1,114,877 "," 4,661,477 ", - 
19,64733,0111625,Animo Watts College Preparatory Academy,0783, -   , -   , -   , 535.92 , 0.9393 ," 4,967,442 "," 933,184 "," 756,790 ", N/A , N/A , N/A , N/A ," 6,657,416 "," 6,168,856 "," 488,560 ", - , - ," 1,415,150 "," 1,019,043 "," 4,223,223 ", - 
19,64733,0111641,Alliance Ouchi-O' Donovan 6-12 Complex,0784, -   , 151.99 , 299.93 , 551.40 , 0.9429 ," 8,599,897 "," 1,621,769 "," 1,310,195 ", N/A , N/A , N/A , N/A ," 11,531,861 "," 10,716,136 "," 815,725 ", - , - ," 2,649,367 "," 1,907,796 "," 6,974,698 ", - 
