 County Code ,District Code,School Code,Local Educational Agency ,Charter Number," TK/K-3 ADA
Target, B-5/B-1 "," 4 - 6 ADA
Target, B-6/B-2 "," 7 - 8 ADA
Target, B-7/B-3 "," 9 - 12 ADA
Target, B-8/B-4 ","Unduplicated Pupil Percentage
Target, D-1"," Base Grant Funding
Target, C-5 "," Supplemental Grant Funding
Target, D-7 "," Concentration Grant Funding
Target, E-8 "," Necessary Small Schools Allowance
Target, F-1 "," Add-On (Based on 2012-13 Targeted Instructional Improvement Block Grant)
Target, F-2 "," Add-On (Based on 2012-13 Home-to-School Transportation)
Target, F-3 "," Add-On (Based on 2012-13 Small School District Bus Replacement Program)
Target, F-4 "," Total LCFF Target Entitlement
Target, G-1/F-1 "," Total LCFF Floor Entitlement
Transition, B-13 "," Current Year Gap Funding (100%)
Transition, C-3 "," Economic Recovery Target
Transition, D-1 "," Miscellaneous Adjustments
Transition, E-1 "," Total Local Revenue or In-Lieu of Property Taxes
Transition, F-2/F-7 "," Education Protection Account Entitlement
Transition, F-5/F-9 "," Net State Aid
Transition, F-6/F-10 "," Additional SA for MSA Guarantee
Transition, H-1/H-2 "
19,10199,0121772,Environmental Charter Middle,1204, -   , 112.47 , 221.54 , -   , 0.8335 ," 2,578,636 "," 429,859 "," 365,522 ", N/A , N/A , N/A , N/A ," 3,374,017 "," 3,183,880 "," 190,137 ", - , - ," 881,987 "," 543,954 "," 1,948,076 ", - 
19,10199,0127498,Environmental Charter Middle - Inglewood,1501, -   , 115.82 , 230.12 , -   , 0.8746 ," 2,670,889 "," 467,192 "," 432,016 ", N/A , N/A , N/A , N/A ," 3,570,097 "," 3,318,278 "," 251,819 ", - , - ," 691,105 "," 69,188 "," 2,809,804 ", - 
19,10199,0127522,Optimist Charter,1506, -   , -   , 1.64 , 64.77 , 0.9604 ," 613,138 "," 117,772 "," 93,412 ", N/A , N/A , N/A , N/A ," 824,322 "," 767,926 "," 56,396 ", - , - ," 175,362 "," 13,282 "," 635,678 ", - 
19,10199,0128025,Lashon Academy,1560, 325.79 , 101.59 , -   , -   , 0.8397 ," 3,452,019 "," 579,732 "," 500,025 ", N/A , N/A , N/A , N/A ," 4,531,776 "," 4,340,868 "," 190,908 ", - , - ," 1,128,540 "," 85,476 "," 3,317,760 ", - 
19,10199,0132605,Valiente College Preparatory Charter School,1744, -   , 70.63 , 101.75 , -   , 0.8636 ," 1,327,983 "," 229,369 "," 202,319 ", N/A , N/A , N/A , N/A ," 1,759,671 "," 1,665,248 "," 94,423 ", - , - ," 455,187 "," 34,476 "," 1,270,008 ", - 
19,10199,0134346,Intellectual Virtues Academy,1814, -   , -   , -   , 96.09 , 0.6000 ," 890,658 "," 106,879 "," 22,266 ", N/A , N/A , N/A , N/A ," 1,019,803 "," 938,883 "," 80,920 ", - , - ," 185,879 "," 19,218 "," 814,706 ", - 
19,10199,0134361,LA's Promise Charter Middle #1,1818, -   , 64.59 , 164.34 , -   , 0.9366 ," 1,770,206 "," 331,595 "," 269,691 ", N/A , N/A , N/A , N/A ," 2,371,492 "," 2,400,981 ", - , - , - ," 604,513 "," 45,786 "," 1,721,193 ", - 
19,10199,0135368,Alma Fuerte Public School,1859, 73.23 , -   , -   , -   , 0.6599 ," 603,049 "," 79,590 "," 25,449 ", N/A , N/A , N/A , N/A ," 708,088 "," 686,931 ", - , - , - ," 347,004 "," 14,646 "," 346,438 ", - 
19,10199,0135582,LA's Promise Charter High #1,1817, -   , -   , -   , 87.08 , 0.8954 ," 807,145 "," 144,544 "," 122,969 ", N/A , N/A , N/A , N/A ," 1,074,658 "," 999,183 "," 75,475 ", - , - ," 229,943 "," 17,416 "," 827,299 ", - 
19,10199,0136119,Animo City of Champions Charter High,1874, -   , -   , -   , 232.03 , 0.8649 ," 2,150,686 "," 372,026 "," 338,626 ", N/A , N/A , N/A , N/A ," 2,861,338 "," 2,516,869 "," 344,469 ", - , - ," 463,540 "," 46,406 "," 2,351,392 ", - 
19,10199,0137166,Soleil Academy,1931, 89.66 , -   , -   , -   , 0.8667 ," 738,350 "," 127,986 "," 116,918 ", N/A , N/A , N/A , N/A ," 983,254 "," 980,617 "," 2,637 ", - , - ," 102,822 "," 17,932 "," 862,500 ", - 
19,10199,0137679,Magnolia Science Academy 5,0987, -   , 57.34 , 106.37 , 68.20 , 0.8558 ," 1,895,528 "," 324,438 "," 288,783 ", N/A , N/A , N/A , N/A ," 2,508,749 "," 2,261,306 "," 247,443 ", - , - ," 612,382 "," 395,404 "," 1,500,963 ", - 
19,10199,0138669,Da Vinci RISE High,2017, -   , -   , -   , 97.96 , 0.7500 ," 907,991 "," 136,199 "," 90,799 ", N/A , N/A , N/A , N/A ," 1,134,989 "," 1,123,633 "," 11,356 ", - , - , - ," 19,592 "," 1,115,397 ", - 
19,10199,6116883,Odyssey Charter,0249, 203.60 , 161.96 , 102.12 , -   , 0.2870 ," 3,698,973 "," 212,321 ", - , N/A , N/A , N/A , N/A ," 3,911,294 "," 3,649,898 "," 261,396 ", - , - ," 1,045,653 "," 744,547 "," 2,121,094 ", - 
19,10199,6119945,Magnolia Science Academy,0438, -   , 128.05 , 167.68 , 271.84 , 0.8811 ," 4,796,385 "," 845,219 "," 730,729 ", N/A , N/A , N/A , N/A ," 6,372,333 "," 5,972,822 "," 399,511 ", - , - ," 1,498,725 "," 998,655 "," 3,874,953 ", - 
19,64212,0000000,ABC Unified,N/A," 5,735.65 "," 4,601.22 "," 3,130.26 "," 6,476.95 ", 0.5513 ," 166,507,272 "," 18,359,092 "," 108,230 ", - ," 853,357 "," 1,251,447 ", - ," 187,079,398 "," 176,220,979 "," 10,858,419 ", - , - ," 37,201,347 "," 32,394,307 "," 117,483,744 ", - 
19,64246,0000000,Antelope Valley Union High,N/A, -   , -   , -   ," 19,669.90 ", 0.7029 ," 182,320,303 "," 25,630,588 "," 13,938,387 ", - ," 764,076 "," 1,203,692 ", - ," 223,857,046 "," 207,072,976 "," 16,784,070 ", - , - ," 33,879,461 "," 37,338,965 "," 152,638,620 ", - 
19,64246,0126003,Academies of the Antelope Valley,1415, -   , -   , 455.76 , 91.80 , 0.5720 ," 4,403,999 "," 503,817 "," 48,444 ", N/A , N/A , N/A , N/A ," 4,956,260 "," 4,564,662 "," 391,598 ", - , - ," 833,200 "," 939,053 "," 3,184,007 ", - 
19,64246,1996537,Desert Sands Charter,0411, -   , -   , 3.25 ," 1,713.20 ", 0.8448 ," 15,904,988 "," 2,687,307 "," 2,344,396 ", N/A , N/A , N/A , N/A ," 20,936,691 "," 19,576,145 "," 1,360,546 ", - , - ," 2,611,853 "," 3,263,753 "," 15,061,085 ", - 
19,64261,0000000,Arcadia Unified,N/A," 2,384.65 "," 2,088.86 "," 1,479.98 "," 3,254.42 ", 0.3264 ," 77,155,495 "," 5,036,710 ", - , - ," 492,650 "," 289,905 ", - ," 82,974,760 "," 77,480,721 "," 5,494,039 ", - , - ," 45,649,123 "," 2,874,629 "," 34,451,008 ", - 
19,64279,0000000,Azusa Unified,N/A," 2,478.21 "," 1,823.76 "," 1,208.59 "," 2,505.10 ", 0.8390 ," 66,857,686 "," 11,218,720 "," 9,660,936 ", - ," 467,002 "," 795,904 ", - ," 89,000,248 "," 83,668,908 "," 5,331,340 ", - , - ," 17,268,806 "," 13,009,657 "," 58,721,785 ", - 
19,64287,0000000,Baldwin Park Unified,N/A," 3,676.65 "," 2,897.52 "," 1,960.19 "," 3,983.54 ", 0.9193 ," 104,419,410 "," 19,198,553 "," 19,281,044 ", - ," 990,028 "," 632,053 ", - ," 144,521,088 "," 134,596,388 "," 9,924,700 ", - , - ," 12,868,870 "," 20,329,051 "," 111,323,167 ", - 
